item,item_description,APPETIZERS
Fish (boneless) Molee Curry,Fried tilapia fish fillets cooked with Kerala style signature sauce,SEA FOOD ENTREES
Kerala Fish (Boneless) Curry (Spicy),Tilapia fish cooked w/ Kerala style signature sauce,SEA FOOD ENTREES
Fish Mappas or Mango Fish Curry, ,SEA FOOD ENTREES
Shrimp Curry (Spicy),Tail-off Shrimp cooked w/ Kerala style signature sauce,SEA FOOD ENTREES
Shrimp Roast or Shrimp 65 (Spicy),Tail-off shrimp pan fried with signature spices & dried sliced coconut,SEA FOOD ENTREES
Chettinadu Shrimp (Spicy),Tail-off Shrimp cooked with signature spices & chettinadu style,SEA FOOD ENTREES
