item,item_description,APPETIZERS
Egg Dosa,Dosa topped with eggs & served w/ sambar & chutneys,NON-VEGETARIAN DOSAS
Egg Masala Dosa,Dosa wrapped around egg masala,NON-VEGETARIAN DOSAS
Chicken Dosa,Dosa wrapped around curried chicken & served w/ sambar & chutney,NON-VEGETARIAN DOSAS
Goat Dosa,Dosa wrapped around curried goat (Bone-in); served w/ sambar &chutney,NON-VEGETARIAN DOSAS
Lamb Dosa,Dosa wrapped around curried lamb; served w/ sambar &chutney,NON-VEGETARIAN DOSAS 
